
----- New Logging Session Started -----
Timestamp,Level,Task,Message
2010,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
56495,DEBUG,WebSocketTask,sendGPSData time, 1
56665,DEBUG,GNSSTask,GNSS checkUblox time, 54
56667,DEBUG,GNSSTask,GNSS checkCallbacks time, 56
56995,DEBUG,WebSocketTask,sendGPSData time, 0
57497,DEBUG,WebSocketTask,sendGPSData time, 1
57999,DEBUG,WebSocketTask,sendGPSData time, 1
58500,DEBUG,WebSocketTask,sendGPSData time, 1
58662,DEBUG,GNSSTask,GNSS checkUblox time, 51
58663,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
59002,DEBUG,WebSocketTask,sendGPSData time, 0
59505,DEBUG,WebSocketTask,sendGPSData time, 1
60006,DEBUG,WebSocketTask,sendGPSData time, 1
60508,DEBUG,WebSocketTask,sendGPSData time, 1
60665,DEBUG,GNSSTask,GNSS checkUblox time, 54
60667,DEBUG,GNSSTask,GNSS checkCallbacks time, 56
60946,DEBUG,async_tcp,sendGPSData time, 3
60964,DEBUG,GNSSTask,GNSS checkUblox time, 53
60965,DEBUG,GNSSTask,GNSS checkCallbacks time, 54
61023,DEBUG,WebSocketTask,sendGPSData time, 2
61525,DEBUG,WebSocketTask,sendGPSData time, 1
61662,DEBUG,GNSSTask,GNSS checkUblox time, 51
61662,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
61962,DEBUG,GNSSTask,GNSS checkUblox time, 51
61963,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
62021,DEBUG,WebSocketTask,sendGPSData time, 1
62532,DEBUG,WebSocketTask,sendGPSData time, 1
62666,DEBUG,GNSSTask,GNSS checkUblox time, 55
62668,DEBUG,GNSSTask,GNSS checkCallbacks time, 57
63033,DEBUG,WebSocketTask,sendGPSData time, 1
63541,DEBUG,WebSocketTask,sendGPSData time, 1
64043,DEBUG,WebSocketTask,sendGPSData time, 1
64549,DEBUG,WebSocketTask,sendGPSData time, 1
64666,DEBUG,GNSSTask,GNSS checkUblox time, 55
64668,DEBUG,GNSSTask,GNSS checkCallbacks time, 57
65054,DEBUG,WebSocketTask,sendGPSData time, 1
65075,NAV,WebSocketTask,WebSocket reconnected after disconnection. Sending status refresh.
65076,DEBUG,WebSocketTask,sendGPSData time, 1
65557,DEBUG,WebSocketTask,sendGPSData time, 1
65663,DEBUG,GNSSTask,GNSS checkUblox time, 52
65663,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
66062,DEBUG,WebSocketTask,sendGPSData time, 1
66564,DEBUG,WebSocketTask,sendGPSData time, 1
66666,DEBUG,GNSSTask,GNSS checkUblox time, 55
66668,DEBUG,GNSSTask,GNSS checkCallbacks time, 57
67071,DEBUG,WebSocketTask,sendGPSData time, 1
67580,DEBUG,WebSocketTask,sendGPSData time, 6
68079,DEBUG,WebSocketTask,sendGPSData time, 1
68587,DEBUG,WebSocketTask,sendGPSData time, 2
68662,DEBUG,GNSSTask,GNSS checkUblox time, 51
68664,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
69088,DEBUG,WebSocketTask,sendGPSData time, 1
69596,DEBUG,WebSocketTask,sendGPSData time, 1
69662,DEBUG,GNSSTask,GNSS checkUblox time, 51
69663,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
70100,DEBUG,WebSocketTask,sendGPSData time, 1
70610,DEBUG,WebSocketTask,sendGPSData time, 1
70665,DEBUG,GNSSTask,GNSS checkUblox time, 54
70667,DEBUG,GNSSTask,GNSS checkCallbacks time, 56
71112,DEBUG,WebSocketTask,sendGPSData time, 1
71619,DEBUG,WebSocketTask,sendGPSData time, 1
72120,DEBUG,WebSocketTask,sendGPSData time, 1
72627,DEBUG,WebSocketTask,sendGPSData time, 1
72667,DEBUG,GNSSTask,GNSS checkUblox time, 56
72669,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
73134,DEBUG,WebSocketTask,sendGPSData time, 1
73636,DEBUG,WebSocketTask,sendGPSData time, 1
74145,DEBUG,WebSocketTask,sendGPSData time, 1
74645,DEBUG,WebSocketTask,sendGPSData time, 1
74667,DEBUG,GNSSTask,GNSS checkUblox time, 56
74669,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
75148,DEBUG,WebSocketTask,sendGPSData time, 1
75651,DEBUG,WebSocketTask,sendGPSData time, 1
76152,DEBUG,WebSocketTask,sendGPSData time, 1
76655,DEBUG,WebSocketTask,sendGPSData time, 1
76670,DEBUG,GNSSTask,GNSS checkUblox time, 59
76673,DEBUG,GNSSTask,GNSS checkCallbacks time, 62
77165,DEBUG,WebSocketTask,sendGPSData time, 1
77671,DEBUG,WebSocketTask,sendGPSData time, 1
78178,DEBUG,WebSocketTask,sendGPSData time, 1
78662,DEBUG,GNSSTask,GNSS checkUblox time, 51
78664,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
78680,DEBUG,WebSocketTask,sendGPSData time, 1
79188,DEBUG,WebSocketTask,sendGPSData time, 1
79696,DEBUG,WebSocketTask,sendGPSData time, 1
80201,DEBUG,WebSocketTask,sendGPSData time, 1
80665,DEBUG,GNSSTask,GNSS checkUblox time, 54
80667,DEBUG,GNSSTask,GNSS checkCallbacks time, 56
80704,DEBUG,WebSocketTask,sendGPSData time, 1
81206,DEBUG,WebSocketTask,sendGPSData time, 0
81708,DEBUG,WebSocketTask,sendGPSData time, 0
82218,DEBUG,WebSocketTask,sendGPSData time, 1
82670,DEBUG,GNSSTask,GNSS checkUblox time, 59
82672,DEBUG,GNSSTask,GNSS checkCallbacks time, 61
82726,DEBUG,WebSocketTask,sendGPSData time, 2
83233,DEBUG,WebSocketTask,sendGPSData time, 1
83740,DEBUG,WebSocketTask,sendGPSData time, 1
84246,DEBUG,WebSocketTask,sendGPSData time, 1
84667,DEBUG,GNSSTask,GNSS checkUblox time, 56
84669,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
84747,DEBUG,WebSocketTask,sendGPSData time, 1
85255,DEBUG,WebSocketTask,sendGPSData time, 3
85762,DEBUG,WebSocketTask,sendGPSData time, 1
86270,DEBUG,WebSocketTask,sendGPSData time, 1
86667,DEBUG,GNSSTask,GNSS checkUblox time, 56
86669,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
86774,DEBUG,WebSocketTask,sendGPSData time, 1
87282,DEBUG,WebSocketTask,sendGPSData time, 1
87784,DEBUG,WebSocketTask,sendGPSData time, 1
88286,DEBUG,WebSocketTask,sendGPSData time, 2
88663,DEBUG,GNSSTask,GNSS checkUblox time, 52
88665,DEBUG,GNSSTask,GNSS checkCallbacks time, 54
88792,DEBUG,WebSocketTask,sendGPSData time, 1
89296,DEBUG,WebSocketTask,sendGPSData time, 1
89666,DEBUG,GNSSTask,GNSS checkUblox time, 55
89666,DEBUG,GNSSTask,GNSS checkCallbacks time, 55
89805,DEBUG,WebSocketTask,sendGPSData time, 1
90308,DEBUG,WebSocketTask,sendGPSData time, 1
90666,DEBUG,GNSSTask,GNSS checkUblox time, 55
90668,DEBUG,GNSSTask,GNSS checkCallbacks time, 57
90817,DEBUG,WebSocketTask,sendGPSData time, 3
91325,DEBUG,WebSocketTask,sendGPSData time, 1
91664,DEBUG,GNSSTask,GNSS checkUblox time, 53
91664,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
91830,DEBUG,WebSocketTask,sendGPSData time, 1
92336,DEBUG,WebSocketTask,sendGPSData time, 1
92662,DEBUG,GNSSTask,GNSS checkUblox time, 51
92665,DEBUG,GNSSTask,GNSS checkCallbacks time, 54
92846,DEBUG,WebSocketTask,sendGPSData time, 2
93353,DEBUG,WebSocketTask,sendGPSData time, 1
93862,DEBUG,WebSocketTask,sendGPSData time, 2
94363,DEBUG,WebSocketTask,sendGPSData time, 1
94672,DEBUG,GNSSTask,GNSS checkUblox time, 61
94674,DEBUG,GNSSTask,GNSS checkCallbacks time, 63
94864,DEBUG,WebSocketTask,sendGPSData time, 2
95373,DEBUG,WebSocketTask,sendGPSData time, 1
95876,DEBUG,WebSocketTask,sendGPSData time, 1
96379,DEBUG,WebSocketTask,sendGPSData time, 1
96668,DEBUG,GNSSTask,GNSS checkUblox time, 57
96669,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
96888,DEBUG,WebSocketTask,sendGPSData time, 1
97396,DEBUG,WebSocketTask,sendGPSData time, 1
97903,DEBUG,WebSocketTask,sendGPSData time, 1
98262,DEBUG,GNSSTask,GNSS checkUblox time, 51
98262,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
98410,DEBUG,WebSocketTask,sendGPSData time, 5
98664,DEBUG,GNSSTask,GNSS checkUblox time, 53
98666,DEBUG,GNSSTask,GNSS checkCallbacks time, 55
98908,DEBUG,WebSocketTask,sendGPSData time, 1
99413,DEBUG,WebSocketTask,sendGPSData time, 1
99922,DEBUG,WebSocketTask,sendGPSData time, 2
100422,DEBUG,WebSocketTask,sendGPSData time, 1
100667,DEBUG,GNSSTask,GNSS checkUblox time, 56
100668,DEBUG,GNSSTask,GNSS checkCallbacks time, 57
100923,DEBUG,WebSocketTask,sendGPSData time, 1
101426,DEBUG,WebSocketTask,sendGPSData time, 1
101933,DEBUG,WebSocketTask,sendGPSData time, 1
102267,DEBUG,GNSSTask,GNSS checkUblox time, 56
102268,DEBUG,GNSSTask,GNSS checkCallbacks time, 57
102442,DEBUG,WebSocketTask,sendGPSData time, 1
102662,DEBUG,GNSSTask,GNSS checkUblox time, 51
102948,DEBUG,WebSocketTask,sendGPSData time, 1
112671,DEBUG,GNSSTask,GNSS checkCallbacks time, 10060
112689,DEBUG,WebSocketTask,sendGPSData time, 0
113203,DEBUG,WebSocketTask,sendGPSData time, 1
113702,DEBUG,WebSocketTask,sendGPSData time, 1
114202,DEBUG,WebSocketTask,sendGPSData time, 1
114666,DEBUG,GNSSTask,GNSS checkUblox time, 55
124671,DEBUG,GNSSTask,GNSS checkCallbacks time, 10060
124693,DEBUG,WebSocketTask,sendGPSData time, 1
125200,DEBUG,WebSocketTask,sendGPSData time, 1
125703,DEBUG,WebSocketTask,sendGPSData time, 1
126211,DEBUG,WebSocketTask,sendGPSData time, 1
126462,DEBUG,GNSSTask,GNSS checkUblox time, 51
126462,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
126667,DEBUG,GNSSTask,GNSS checkUblox time, 56
136671,DEBUG,GNSSTask,GNSS checkCallbacks time, 10060
136687,DEBUG,WebSocketTask,sendGPSData time, 1
137197,DEBUG,WebSocketTask,sendGPSData time, 2
137696,DEBUG,WebSocketTask,sendGPSData time, 1
137963,DEBUG,GNSSTask,GNSS checkUblox time, 52
137964,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
138204,DEBUG,WebSocketTask,sendGPSData time, 1
138664,DEBUG,GNSSTask,GNSS checkUblox time, 53

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1086,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
2889,DEBUG,WebSocketTask,sendGPSData time, 0
3037,DEBUG,GNSSTask,GNSS module found!
3392,DEBUG,WebSocketTask,sendGPSData time, 0
3893,DEBUG,WebSocketTask,sendGPSData time, 1
4399,DEBUG,WebSocketTask,sendGPSData time, 1
4899,DEBUG,WebSocketTask,sendGPSData time, 0
5000,NAV,WebSocketTask,WebSocket disconnected. Will attempt to maintain navigation state.
5401,DEBUG,WebSocketTask,sendGPSData time, 1
5903,DEBUG,WebSocketTask,sendGPSData time, 1
6404,DEBUG,WebSocketTask,sendGPSData time, 1
6833,DEBUG,GNSSTask,IMU sensor fusion disabled.
6834,ERROR,GNSSTask,------------------------------------------
6834,ERROR,GNSSTask,GNSS SYS TIME: 2025-03-28 19:14 (UTC)
6834,ERROR,GNSSTask,------------------------------------------
7264,DEBUG,WebSocketTask,sendGPSData time, 1
7474,DEBUG,async_tcp,sendGPSData time, 5
7775,DEBUG,WebSocketTask,sendGPSData time, 1
7981,DEBUG,GNSSTask,GNSS checkUblox time, 513
7988,DEBUG,GNSSTask,GNSS checkCallbacks time, 520
8111,DEBUG,GNSSTask,pushRawData time, 103
8283,DEBUG,WebSocketTask,sendGPSData time, 1
8378,DEBUG,GNSSTask,GNSS checkUblox time, 267
8378,DEBUG,GNSSTask,GNSS checkCallbacks time, 267
8527,DEBUG,GNSSTask,GNSS checkUblox time, 149
8528,DEBUG,GNSSTask,GNSS checkCallbacks time, 150
8591,DEBUG,GNSSTask,GNSS checkUblox time, 63
8592,DEBUG,GNSSTask,GNSS checkCallbacks time, 64
8792,DEBUG,WebSocketTask,sendGPSData time, 2
8940,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
9297,DEBUG,WebSocketTask,sendGPSData time, 2
9783,DEBUG,GNSSTask,pushRawData time, 203
9807,DEBUG,WebSocketTask,sendGPSData time, 1
9903,DEBUG,GNSSTask,GNSS checkUblox time, 120
9903,DEBUG,GNSSTask,GNSS checkCallbacks time, 120
10001,NAV,WebSocketTask,WebSocket reconnected after disconnection. Sending status refresh.
10006,DEBUG,WebSocketTask,sendGPSData time, 5
10052,DEBUG,GNSSTask,pushRawData time, 122
10144,DEBUG,GNSSTask,GNSS checkUblox time, 92
10144,DEBUG,GNSSTask,GNSS checkCallbacks time, 92
10310,DEBUG,WebSocketTask,sendGPSData time, 1
10347,DEBUG,GNSSTask,GNSS checkUblox time, 58
10347,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
10463,DEBUG,GNSSTask,pushRawData time, 97
10740,DEBUG,GNSSTask,GNSS checkUblox time, 51
10740,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
10808,DEBUG,WebSocketTask,sendGPSData time, 1
10943,DEBUG,GNSSTask,GNSS checkUblox time, 54
10947,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
11047,DEBUG,GNSSTask,GNSS checkUblox time, 58
11047,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
11313,DEBUG,WebSocketTask,sendGPSData time, 1
11455,DEBUG,GNSSTask,pushRawData time, 95
11535,DEBUG,GNSSTask,GNSS checkUblox time, 80
11536,DEBUG,GNSSTask,GNSS checkCallbacks time, 81
11822,DEBUG,WebSocketTask,sendGPSData time, 3
12328,DEBUG,WebSocketTask,sendGPSData time, 1
12553,DEBUG,GNSSTask,pushRawData time, 98
12637,DEBUG,GNSSTask,GNSS checkUblox time, 84
12637,DEBUG,GNSSTask,GNSS checkCallbacks time, 84
12830,DEBUG,WebSocketTask,sendGPSData time, 2
12942,DEBUG,GNSSTask,GNSS checkUblox time, 53
12945,DEBUG,GNSSTask,GNSS checkCallbacks time, 56
13331,DEBUG,WebSocketTask,sendGPSData time, 1
13358,DEBUG,GNSSTask,pushRawData time, 103
13446,DEBUG,GNSSTask,GNSS checkUblox time, 87
13446,DEBUG,GNSSTask,GNSS checkCallbacks time, 87
13830,DEBUG,WebSocketTask,sendGPSData time, 1
14341,DEBUG,WebSocketTask,sendGPSData time, 1
14355,DEBUG,GNSSTask,pushRawData time, 105
14448,DEBUG,GNSSTask,GNSS checkUblox time, 93
14448,DEBUG,GNSSTask,GNSS checkCallbacks time, 93
14546,DEBUG,GNSSTask,GNSS checkUblox time, 57
14547,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
14845,DEBUG,WebSocketTask,sendGPSData time, 1
14942,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
15350,DEBUG,WebSocketTask,sendGPSData time, 1
15858,DEBUG,WebSocketTask,sendGPSData time, 1
16053,DEBUG,GNSSTask,pushRawData time, 96
16360,DEBUG,WebSocketTask,sendGPSData time, 1
16449,DEBUG,GNSSTask,pushRawData time, 95
16552,DEBUG,GNSSTask,GNSS checkUblox time, 57
16552,DEBUG,GNSSTask,GNSS checkCallbacks time, 57
16868,DEBUG,WebSocketTask,sendGPSData time, 2
16942,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
17373,DEBUG,WebSocketTask,sendGPSData time, 1
17461,DEBUG,GNSSTask,pushRawData time, 100
17876,DEBUG,WebSocketTask,sendGPSData time, 1
18378,DEBUG,WebSocketTask,sendGPSData time, 5
18454,DEBUG,GNSSTask,pushRawData time, 96
18883,DEBUG,WebSocketTask,sendGPSData time, 2
18941,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
19040,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
19387,DEBUG,WebSocketTask,sendGPSData time, 1
19462,DEBUG,GNSSTask,pushRawData time, 106
19537,DEBUG,GNSSTask,GNSS checkUblox time, 75
19537,DEBUG,GNSSTask,GNSS checkCallbacks time, 75
19640,DEBUG,GNSSTask,GNSS checkUblox time, 51
19640,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
19899,DEBUG,WebSocketTask,sendGPSData time, 1
20407,DEBUG,WebSocketTask,sendGPSData time, 3
20552,DEBUG,GNSSTask,pushRawData time, 95
20905,DEBUG,WebSocketTask,sendGPSData time, 0
20944,DEBUG,GNSSTask,GNSS checkUblox time, 55
20948,DEBUG,GNSSTask,GNSS checkCallbacks time, 59
21348,DEBUG,GNSSTask,pushRawData time, 96
21410,DEBUG,WebSocketTask,sendGPSData time, 1
21881,DEBUG,GNSSTask,pushRawData time, 203
21914,DEBUG,WebSocketTask,sendGPSData time, 1
22002,DEBUG,GNSSTask,GNSS checkUblox time, 121
22002,DEBUG,GNSSTask,GNSS checkCallbacks time, 121
22112,DEBUG,GNSSTask,pushRawData time, 92
22203,DEBUG,GNSSTask,GNSS checkUblox time, 89
22203,DEBUG,GNSSTask,GNSS checkCallbacks time, 90
22343,DEBUG,GNSSTask,GNSS checkUblox time, 54
22343,DEBUG,GNSSTask,GNSS checkCallbacks time, 54
22423,DEBUG,WebSocketTask,sendGPSData time, 2
22923,DEBUG,WebSocketTask,sendGPSData time, 1
22944,DEBUG,GNSSTask,GNSS checkUblox time, 55
22948,DEBUG,GNSSTask,GNSS checkCallbacks time, 59
23421,DEBUG,WebSocketTask,sendGPSData time, 1
23675,NAV,async_tcp,WebSocket received autonomous command, stop
23676,NAV,async_tcp,Stop command received
23692,NAV,NavTask,processNavigationCommand, 1
23692,NAV,NavTask,NAV_CMD_STOP, 0, 0
23776,DEBUG,GNSSTask,pushRawData time, 203
23894,DEBUG,GNSSTask,GNSS checkUblox time, 118
23895,DEBUG,GNSSTask,GNSS checkCallbacks time, 119
23925,DEBUG,WebSocketTask,sendGPSData time, 1
24034,DEBUG,GNSSTask,pushRawData time, 113
24128,DEBUG,GNSSTask,GNSS checkUblox time, 94
24128,DEBUG,GNSSTask,GNSS checkCallbacks time, 94
24343,DEBUG,GNSSTask,GNSS checkUblox time, 54
24343,DEBUG,GNSSTask,GNSS checkCallbacks time, 54
24432,DEBUG,WebSocketTask,sendGPSData time, 1
24934,DEBUG,WebSocketTask,sendGPSData time, 2
24942,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
25068,DEBUG,GNSSTask,pushRawData time, 105
25147,DEBUG,GNSSTask,GNSS checkUblox time, 79
25147,DEBUG,GNSSTask,GNSS checkCallbacks time, 79
25248,DEBUG,GNSSTask,GNSS checkUblox time, 59
25248,DEBUG,GNSSTask,GNSS checkCallbacks time, 59
25443,DEBUG,WebSocketTask,sendGPSData time, 1
25445,DEBUG,GNSSTask,pushRawData time, 96
25951,DEBUG,WebSocketTask,sendGPSData time, 1
26452,DEBUG,GNSSTask,pushRawData time, 98
26459,DEBUG,WebSocketTask,sendGPSData time, 1
26943,DEBUG,GNSSTask,GNSS checkCallbacks time, 54
26972,DEBUG,WebSocketTask,sendGPSData time, 1
27040,DEBUG,GNSSTask,GNSS checkUblox time, 51
27040,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
27481,DEBUG,WebSocketTask,sendGPSData time, 1
27984,DEBUG,WebSocketTask,sendGPSData time, 1
28055,DEBUG,GNSSTask,pushRawData time, 98
28349,DEBUG,GNSSTask,pushRawData time, 95
28400,DEBUG,GNSSTask,GNSS checkUblox time, 51
28400,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
28495,DEBUG,WebSocketTask,sendGPSData time, 1
28540,DEBUG,GNSSTask,GNSS checkUblox time, 51
28540,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
28942,DEBUG,GNSSTask,GNSS checkUblox time, 53
28948,DEBUG,GNSSTask,GNSS checkCallbacks time, 59
28997,DEBUG,WebSocketTask,sendGPSData time, 2
29505,DEBUG,WebSocketTask,sendGPSData time, 1
30006,DEBUG,WebSocketTask,sendGPSData time, 1
30056,DEBUG,GNSSTask,pushRawData time, 105
30510,DEBUG,WebSocketTask,sendGPSData time, 1
30951,DEBUG,GNSSTask,pushRawData time, 102
31005,DEBUG,GNSSTask,GNSS checkUblox time, 54
31009,DEBUG,GNSSTask,GNSS checkCallbacks time, 58
31014,DEBUG,WebSocketTask,sendGPSData time, 1
31525,DEBUG,WebSocketTask,sendGPSData time, 1
31946,DEBUG,GNSSTask,pushRawData time, 96
32027,DEBUG,WebSocketTask,sendGPSData time, 3
32348,DEBUG,GNSSTask,pushRawData time, 98
32534,DEBUG,WebSocketTask,sendGPSData time, 1
32540,DEBUG,GNSSTask,GNSS checkUblox time, 51
32540,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
32944,DEBUG,GNSSTask,GNSS checkUblox time, 55
32949,DEBUG,GNSSTask,GNSS checkCallbacks time, 60
33043,DEBUG,WebSocketTask,sendGPSData time, 1
33341,DEBUG,GNSSTask,GNSS checkUblox time, 52
33342,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
33459,DEBUG,GNSSTask,pushRawData time, 95
33544,DEBUG,WebSocketTask,sendGPSData time, 2
34043,DEBUG,WebSocketTask,sendGPSData time, 1
34540,DEBUG,GNSSTask,GNSS checkUblox time, 51
34541,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
34550,DEBUG,WebSocketTask,sendGPSData time, 3
35048,DEBUG,WebSocketTask,sendGPSData time, 1
35063,DEBUG,GNSSTask,pushRawData time, 105
35116,DEBUG,GNSSTask,GNSS checkUblox time, 52
35117,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
35340,DEBUG,GNSSTask,GNSS checkUblox time, 51
35341,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
35557,DEBUG,WebSocketTask,sendGPSData time, 1
36052,DEBUG,GNSSTask,pushRawData time, 95
36065,DEBUG,WebSocketTask,sendGPSData time, 1
36451,DEBUG,GNSSTask,pushRawData time, 96
36545,DEBUG,GNSSTask,GNSS checkUblox time, 52
36546,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
36565,DEBUG,WebSocketTask,sendGPSData time, 1
36842,DEBUG,GNSSTask,GNSS checkUblox time, 53
36842,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
36941,DEBUG,GNSSTask,GNSS checkUblox time, 52
36945,DEBUG,GNSSTask,GNSS checkCallbacks time, 56
37070,DEBUG,WebSocketTask,sendGPSData time, 1
37568,DEBUG,WebSocketTask,sendGPSData time, 2
38077,DEBUG,WebSocketTask,sendGPSData time, 2
38158,DEBUG,GNSSTask,pushRawData time, 98
38340,DEBUG,GNSSTask,GNSS checkUblox time, 51
38341,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
38578,DEBUG,WebSocketTask,sendGPSData time, 1
38945,DEBUG,GNSSTask,pushRawData time, 95
39002,DEBUG,GNSSTask,GNSS checkUblox time, 57
39006,DEBUG,GNSSTask,GNSS checkCallbacks time, 61
39082,DEBUG,WebSocketTask,sendGPSData time, 1
39362,DEBUG,GNSSTask,pushRawData time, 105
39448,DEBUG,GNSSTask,GNSS checkUblox time, 85
39448,DEBUG,GNSSTask,GNSS checkCallbacks time, 85
39585,DEBUG,WebSocketTask,sendGPSData time, 3
40093,DEBUG,WebSocketTask,sendGPSData time, 1
40546,DEBUG,GNSSTask,pushRawData time, 95
40597,DEBUG,GNSSTask,GNSS checkUblox time, 51
40598,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
40601,DEBUG,WebSocketTask,sendGPSData time, 1
40943,DEBUG,GNSSTask,GNSS checkCallbacks time, 54
41104,DEBUG,WebSocketTask,sendGPSData time, 2
41118,NAV,async_tcp,command = record
41118,NAV,async_tcp,addWaypoint
41118,NAV,async_tcp,navCommandQueue spaces, 5
41192,NAV,NavTask,processNavigationCommand, 5
41192,NAV,NavTask,NAV_CMD_ADD_WAYPOINT, 42.3938980, -72.5289001
41193,NAV,NavTask,navStatus.totalWaypoints, 1
41452,DEBUG,GNSSTask,pushRawData time, 96
41607,DEBUG,WebSocketTask,sendGPSData time, 1
42109,DEBUG,WebSocketTask,sendGPSData time, 2
42610,DEBUG,WebSocketTask,sendGPSData time, 1
42944,DEBUG,GNSSTask,GNSS checkCallbacks time, 55
43114,DEBUG,WebSocketTask,sendGPSData time, 1
43153,DEBUG,GNSSTask,pushRawData time, 99
43453,DEBUG,GNSSTask,pushRawData time, 95
43615,DEBUG,WebSocketTask,sendGPSData time, 2
44125,DEBUG,WebSocketTask,sendGPSData time, 2
44627,DEBUG,WebSocketTask,sendGPSData time, 2
44941,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
45067,DEBUG,GNSSTask,pushRawData time, 105
45132,DEBUG,WebSocketTask,sendGPSData time, 1
45146,DEBUG,GNSSTask,GNSS checkUblox time, 79
45146,DEBUG,GNSSTask,GNSS checkCallbacks time, 79
45351,DEBUG,GNSSTask,pushRawData time, 95
45641,DEBUG,WebSocketTask,sendGPSData time, 1
46141,DEBUG,WebSocketTask,sendGPSData time, 1
46641,DEBUG,WebSocketTask,sendGPSData time, 1
46740,DEBUG,GNSSTask,GNSS checkUblox time, 51
46741,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
46855,DEBUG,GNSSTask,pushRawData time, 95
46952,DEBUG,GNSSTask,GNSS checkCallbacks time, 55
47143,DEBUG,WebSocketTask,sendGPSData time, 1
47349,DEBUG,GNSSTask,pushRawData time, 98
47652,DEBUG,WebSocketTask,sendGPSData time, 1
48160,DEBUG,WebSocketTask,sendGPSData time, 2
48552,DEBUG,GNSSTask,pushRawData time, 97
48604,DEBUG,GNSSTask,GNSS checkUblox time, 52
48605,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
48661,DEBUG,WebSocketTask,sendGPSData time, 1
48945,DEBUG,GNSSTask,GNSS checkUblox time, 56
48951,DEBUG,GNSSTask,GNSS checkCallbacks time, 62
49159,DEBUG,WebSocketTask,sendGPSData time, 0
49340,DEBUG,GNSSTask,GNSS checkUblox time, 51
49341,DEBUG,GNSSTask,GNSS checkCallbacks time, 52
49470,DEBUG,GNSSTask,pushRawData time, 106
49553,DEBUG,GNSSTask,GNSS checkUblox time, 83
49554,DEBUG,GNSSTask,GNSS checkCallbacks time, 84
49641,DEBUG,GNSSTask,GNSS checkUblox time, 52
49642,DEBUG,GNSSTask,GNSS checkCallbacks time, 53
49664,DEBUG,WebSocketTask,sendGPSData time, 0
50175,DEBUG,WebSocketTask,sendGPSData time, 1
50340,DEBUG,GNSSTask,GNSS checkUblox time, 51
50340,DEBUG,GNSSTask,GNSS checkCallbacks time, 51
50676,DEBUG,WebSocketTask,sendGPSData time, 1
50940,DEBUG,GNSSTask,GNSS checkUblox time, 51
50945,DEBUG,GNSSTask,GNSS checkCallbacks time, 56
51060,DEBUG,GNSSTask,pushRawData time, 96
51193,DEBUG,WebSocketTask,sendGPSData time, 12
51348,DEBUG,GNSSTask,pushRawData time, 95
51691,DEBUG,WebSocketTask,sendGPSData time, 1
51775,DEBUG,GNSSTask,pushRawData time, 204
51899,DEBUG,GNSSTask,GNSS checkUblox time, 124
51899,DEBUG,GNSSTask,GNSS checkCallbacks time, 124
52010,DEBUG,GNSSTask,pushRawData time, 93
52106,DEBUG,GNSSTask,GNSS checkUblox time, 96
52106,DEBUG,GNSSTask,GNSS checkCallbacks time, 96
